x,y,z,t
-0.172636,-0.145022,0.0339817,2.72
-0.171525,-0.147038,0.0339861,2.73
-0.170395,-0.149047,0.0339906,2.74
-0.169244,-0.151049,0.0339952,2.75
-0.168074,-0.153044,0.034,2.76
-0.166883,-0.155031,0.0340048,2.77
-0.165673,-0.15701,0.0340098,2.78
-0.164443,-0.15898,0.0340149,2.79
-0.163193,-0.160943,0.0340201,2.8
-0.161924,-0.162897,0.0340255,2.81
-0.160636,-0.164842,0.0340309,2.82
-0.159327,-0.166778,0.0340365,2.83
-0.158,-0.168704,0.0340422,2.84
-0.156653,-0.170622,0.034048,2.85
-0.155288,-0.17253,0.0340539,2.86
-0.153903,-0.174428,0.03406,2.87
-0.152499,-0.176315,0.0340661,2.88
-0.151077,-0.178193,0.0340724,2.89
-0.149636,-0.18006,0.0340788,2.9
-0.148176,-0.181917,0.0340853,2.91
-0.146697,-0.183762,0.0340919,2.92
-0.145201,-0.185597,0.0340987,2.93
-0.143686,-0.18742,0.0341056,2.94
-0.142153,-0.189232,0.0341125,2.95
-0.140601,-0.191032,0.0341196,2.96
-0.139032,-0.19282,0.0341268,2.97
-0.137445,-0.194596,0.0341342,2.98
-0.135841,-0.196359,0.0341416,2.99
-0.134219,-0.198111,0.0341491,3
-0.132579,-0.199849,0.0341568,3.01
-0.130922,-0.201574,0.0341646,3.02
-0.129248,-0.203287,0.0341725,3.03
-0.127557,-0.204986,0.0341805,3.04
-0.125849,-0.206671,0.0341886,3.05
-0.124124,-0.208343,0.0341968,3.06
-0.122382,-0.210001,0.0342051,3.07
-0.120624,-0.211645,0.0342136,3.08
-0.11885,-0.213274,0.0342222,3.09
-0.11706,-0.21489,0.0342308,3.1
-0.115253,-0.21649,0.0342396,3.11
-0.113431,-0.218075,0.0342485,3.12
-0.111592,-0.219646,0.0342575,3.13
-0.109738,-0.221201,0.0342666,3.14
-0.107869,-0.222741,0.0342758,3.15
-0.105984,-0.224265,0.0342851,3.16
-0.104085,-0.225773,0.0342945,3.17
-0.10217,-0.227266,0.034304,3.18
-0.10024,-0.228742,0.0343136,3.19
-0.0982959,-0.230202,0.0343234,3.2
-0.0963371,-0.231645,0.0343332,3.21
-0.094364,-0.233072,0.0343431,3.22
-0.0923767,-0.234482,0.0343531,3.23
-0.0903754,-0.235874,0.0343633,3.24
-0.0883603,-0.23725,0.0343735,3.25
-0.0863315,-0.238608,0.0343839,3.26
-0.0842893,-0.239949,0.0343943,3.27
-0.0822337,-0.241271,0.0344048,3.28
-0.0801651,-0.242576,0.0344155,3.29
-0.0780835,-0.243863,0.0344262,3.3
-0.0759891,-0.245132,0.034437,3.31
-0.0738821,-0.246382,0.0344479,3.32
-0.0717628,-0.247613,0.034459,3.33
-0.0696313,-0.248826,0.0344701,3.34
-0.0674877,-0.25002,0.0344813,3.35
-0.0653323,-0.251195,0.0344926,3.36
-0.0631653,-0.252351,0.034504,3.37
-0.0609868,-0.253487,0.0345154,3.38
-0.0587971,-0.254604,0.034527,3.39
-0.0565963,-0.255701,0.0345387,3.4
-0.0543847,-0.256779,0.0345504,3.41
-0.0521624,-0.257836,0.0345623,3.42
-0.0499297,-0.258873,0.0345742,3.43
-0.0476867,-0.25989,0.0345862,3.44
-0.0454337,-0.260887,0.0345983,3.45
-0.0431708,-0.261863,0.0346105,3.46
-0.0408982,-0.262818,0.0346227,3.47
-0.0386163,-0.263753,0.0346351,3.48
-0.0363251,-0.264667,0.0346475,3.49
-0.0340249,-0.265559,0.03466,3.5
-0.0317159,-0.266431,0.0346726,3.51
-0.0293983,-0.267281,0.0346853,3.52
-0.0270724,-0.268109,0.034698,3.53
-0.0247383,-0.268916,0.0347108,3.54
-0.0223962,-0.269701,0.0347237,3.55
-0.0200464,-0.270465,0.0347367,3.56
-0.0176892,-0.271206,0.0347497,3.57
-0.0153246,-0.271926,0.0347628,3.58
-0.012953,-0.272623,0.034776,3.59
-0.0105745,-0.273297,0.0347893,3.6
-0.00818942,-0.27395,0.0348026,3.61
-0.00579795,-0.27458,0.034816,3.62
-0.00340031,-0.275187,0.0348295,3.63
-0.000996739,-0.275771,0.034843,3.64
0.00141254,-0.276333,0.0348566,3.65
0.0038273,-0.276871,0.0348703,3.66
0.00624731,-0.277387,0.034884,3.67
0.00867233,-0.277879,0.0348978,3.68
0.0111021,-0.278348,0.0349117,3.69
0.0135365,-0.278794,0.0349256,3.7
0.0159752,-0.279216,0.0349395,3.71
0.0184179,-0.279614,0.0349536,3.72
0.0208646,-0.27999,0.0349677,3.73
0.0233148,-0.280341,0.0349818,3.74
0.0257684,-0.280668,0.034996,3.75
0.0282251,-0.280972,0.0350102,3.76
0.0306847,-0.281252,0.0350245,3.77
0.033147,-0.281507,0.0350389,3.78
0.0356117,-0.281739,0.0350533,3.79
0.0380785,-0.281946,0.0350677,3.8
0.0405473,-0.282129,0.0350822,3.81
0.0430178,-0.282288,0.0350968,3.82
0.0454897,-0.282423,0.0351113,3.83
0.0479628,-0.282533,0.035126,3.84
0.0504369,-0.282618,0.0351406,3.85
0.0529116,-0.282679,0.0351553,3.86
0.0553869,-0.282715,0.0351701,3.87
0.0578623,-0.282727,0.0351849,3.88
0.0603377,-0.282713,0.0351997,3.89
0.0628129,-0.282676,0.0352146,3.9
0.0652875,-0.282613,0.0352294,3.91
0.0677613,-0.282525,0.0352444,3.92
0.0702341,-0.282413,0.0352593,3.93
0.0727057,-0.282275,0.0352743,3.94
0.0751757,-0.282113,0.0352893,3.95
0.0776439,-0.281925,0.0353043,3.96
0.0801101,-0.281712,0.0353194,3.97
0.082574,-0.281475,0.0353345,3.98
0.0850354,-0.281212,0.0353496,3.99
0.0874941,-0.280924,0.0353647,4
0.0899497,-0.280611,0.0353799,4.01
0.092402,-0.280273,0.0353951,4.02
0.0948507,-0.279909,0.0354103,4.03
0.0972957,-0.27952,0.0354255,4.04
0.0997367,-0.279107,0.0354407,4.05
0.102173,-0.278667,0.0354559,4.06
0.104605,-0.278203,0.0354711,4.07
0.107033,-0.277713,0.0354864,4.08
0.109455,-0.277198,0.0355016,4.09
0.111872,-0.276658,0.0355169,4.1
0.114283,-0.276093,0.0355322,4.11
0.116689,-0.275502,0.0355475,4.12
0.119089,-0.274886,0.0355627,4.13
0.121482,-0.274245,0.035578,4.14
0.123868,-0.273579,0.0355933,4.15
0.126248,-0.272887,0.0356086,4.16
0.128621,-0.272171,0.0356238,4.17
0.130987,-0.271429,0.0356391,4.18
0.133345,-0.270662,0.0356543,4.19
0.135695,-0.26987,0.0356696,4.2
0.138037,-0.269052,0.0356848,4.21
0.14037,-0.26821,0.0357,4.22
0.142695,-0.267343,0.0357153,4.23
0.145012,-0.266451,0.0357304,4.24
0.147319,-0.265533,0.0357456,4.25
0.149617,-0.264591,0.0357608,4.26
0.151905,-0.263624,0.0357759,4.27
0.154184,-0.262633,0.035791,4.28
0.156452,-0.261616,0.0358061,4.29
0.15871,-0.260575,0.0358212,4.3
0.160958,-0.259509,0.0358362,4.31
0.163194,-0.258418,0.0358513,4.32
0.16542,-0.257303,0.0358662,4.33
0.167634,-0.256163,0.0358812,4.34
0.169837,-0.254999,0.0358961,4.35
0.172028,-0.253811,0.035911,4.36
0.174207,-0.252598,0.0359259,4.37
0.176374,-0.251362,0.0359407,4.38
0.178528,-0.250101,0.0359554,4.39
0.18067,-0.248815,0.0359702,4.4
0.182798,-0.247506,0.0359849,4.41
0.184913,-0.246173,0.0359995,4.42
0.187015,-0.244817,0.0360141,4.43
0.189103,-0.243436,0.0360286,4.44
0.191177,-0.242032,0.0360431,4.45
0.193237,-0.240604,0.0360576,4.46
0.195282,-0.239153,0.036072,4.47
0.197313,-0.237679,0.0360863,4.48
0.199329,-0.236181,0.0361006,4.49
0.20133,-0.23466,0.0361148,4.5
0.203315,-0.233116,0.036129,4.51
0.205285,-0.231549,0.0361431,4.52
0.207239,-0.229959,0.0361571,4.53
0.209177,-0.228347,0.0361711,4.54
0.211099,-0.226712,0.036185,4.55
0.213004,-0.225054,0.0361989,4.56
0.214893,-0.223374,0.0362126,4.57
0.216765,-0.221672,0.0362263,4.58
0.218619,-0.219948,0.03624,4.59
0.220456,-0.218201,0.0362535,4.6
0.222276,-0.216433,0.036267,4.61
0.224077,-0.214643,0.0362804,4.62
0.225861,-0.212832,0.0362937,4.63
0.227626,-0.210999,0.0363069,4.64
0.229373,-0.209145,0.0363201,4.65
0.231101,-0.207269,0.0363331,4.66
0.232811,-0.205373,0.0363461,4.67
0.234501,-0.203455,0.036359,4.68
0.236172,-0.201517,0.0363718,4.69
0.237823,-0.199559,0.0363845,4.7
0.239455,-0.197579,0.0363971,4.71
0.241067,-0.19558,0.0364096,4.72
0.242659,-0.193561,0.0364221,4.73
0.24423,-0.191521,0.0364344,4.74
0.245781,-0.189462,0.0364466,4.75
0.247311,-0.187383,0.0364587,4.76
0.24882,-0.185285,0.0364708,4.77
0.250308,-0.183167,0.0364827,4.78
0.251775,-0.18103,0.0364945,4.79
0.253221,-0.178875,0.0365062,4.8
0.254644,-0.1767,0.0365178,4.81
0.256046,-0.174507,0.0365292,4.82
0.257426,-0.172296,0.0365406,4.83
0.258784,-0.170066,0.0365519,4.84
0.260119,-0.167818,0.036563,4.85
0.261431,-0.165553,0.036574,4.86
0.262721,-0.163269,0.0365849,4.87
0.263988,-0.160969,0.0365957,4.88
0.265232,-0.158651,0.0366063,4.89
0.266452,-0.156316,0.0366169,4.9
0.267649,-0.153964,0.0366273,4.91
0.268822,-0.151595,0.0366375,4.92
0.269972,-0.14921,0.0366477,4.93
0.271098,-0.146809,0.0366577,4.94
0.272199,-0.144392,0.0366676,4.95
0.273276,-0.141958,0.0366774,4.96
0.274329,-0.13951,0.036687,4.97
0.275357,-0.137045,0.0366965,4.98
0.276361,-0.134566,0.0367058,4.99
0.277339,-0.132071,0.036715,5
0.278293,-0.129562,0.0367241,5.01
